FID,community,transaction prices,total square footage,avg square footage,total amount,volume,latitude,longitude,INPUT_FID,DISTANCE to SP,Distance to ZGC
104,____,73299.25,212.1,53.025,15675111,4,39.928307,116.326619,104,13343.21259,5987.240158
105,_____14__,65258.6,365.3,73.06,24040206.3,5,39.9322779,116.325094,105,12886.84754,5532.595935
106,_____16__,70945,229.1,57.275,16240152.5,4,39.932134,116.323884,106,12876.26452,5533.406282
107,_____20__,63444,84.8,84.8,5380051.2,1,39.932268,116.322006,107,12822.92695,5498.533722
108,_____38__,68452.2,341.2,68.24,23130157.3,5,39.930861,116.313861,108,12824.18306,5611.520718
109,______7__,89656,58,58,5200048,1,39.933253,116.330271,109,12901.97763,5508.830976
110,_____,91059.34615,1632.15,62.775,149300721.3,26,39.92706176,116.3257252,110,13457.02672,6111.943778
111,___,81015.47826,1159.42,50.40956522,92229516.91,23,39.92808028,116.3210673,111,13253.82362,5952.125227
112,___14__,100000,41.3,41.3,4130000,1,39.922981,116.313542,112,13675.26159,6486.239565
113,______,83802.14286,453.98,64.85428571,37475259.48,7,39.92847659,116.3104487,113,13030.10083,5879.517499
114,____5__,75686.58333,755.4,62.95,56640395.86,12,39.935392,116.32911,114,12648.27835,5256.714137
115,______,83063.5,248.4,62.1,20420173.4,4,39.925518,116.324748,115,13601.91405,6269.848854
116,_____76__,65565,187.56,62.52,13560048.56,3,39.92655255,116.3044266,116,13160.57186,6126.475896
117,_____82__,83129.53846,703.8,54.13846154,58810329.3,13,39.92595086,116.3053746,117,13237.96815,6185.354345
118,_____86__,77288.41667,1170.19,97.51583333,87290631.68,12,39.92528348,116.3051063,118,13307.91116,6261.133923
119,___10__,92004.4,250.5,50.1,22790097.7,5,39.93315041,116.3219326,119,12726.91678,5400.622505
120,___15__,77028.33333,357.8,59.63333333,27010194.3,6,39.93315041,116.3219326,120,12726.91678,5400.622505
121,___1__,85998.6,271.4,54.28,23538135.8,5,39.93521055,116.3270235,121,12618.32764,5240.628338
122,___15_,77510.75,224.55,56.1375,17330075.2,4,39.9242629,116.318825,122,13623.84958,6359.350071
123,___,44861.75,724.53,181.1325,32330351.57,4,39.92911008,116.306883,123,12911.09287,5825.504522
124,____,67349.4,1023.91,102.391,67870584.84,10,39.92709663,116.3183013,124,13308.32774,6042.67326
125,___,64258,49.8,49.8,3200048.4,1,39.92682295,116.3160013,125,13297.79884,6063.755544
126,___16__,67342,69.2,69.2,4660066.4,1,39.92668287,116.3259372,126,13501.98109,6156.109483
127,___36__,71627,486.32,69.47428571,34918220.33,7,39.92667504,116.3259053,127,13502.14532,6156.56898
128,___40__,70683.3,654.08,65.408,46350251.94,10,39.92667504,116.3259053,128,13502.14532,6156.56898
129,___43__,71589.33333,180.5,60.16666667,12930094.4,3,39.92693365,116.3109333,129,13205.43628,6049.580789
130,___53__,73203,76.5,76.5,5600029.5,1,39.92687558,116.3072036,130,13159.81368,6070.879287
131,____34_,73087.5,241.26,60.315,17600102.01,4,39.92653796,116.3181462,131,13365.90947,6103.784889
132,____51__,75281.4,321.52,64.304,24330149.7,5,39.92620022,116.3127664,132,13313.00602,6128.756282
133,____,79671.6,1854.83,123.6553333,146325811.3,15,39.9277612,116.3148545,133,13176.86944,5956.951906
134,______,41673,67.19,67.19,2800008.87,1,39.89817716,116.3160635,134,16417.12675,9243.059198
135,______5__,86662.66667,189,63,16400137.2,3,39.927453,116.316472,135,13237.60369,5995.330649
136,______7__,96225,208.33,52.0825,19460149.62,4,39.926646,116.3165739,136,13326.72725,6085.195232
137,____3_,78049,169.83,84.915,13110069.03,2,39.925609,116.326263,137,13623.5909,6277.861281
138,_______2__,94688,84.7,84.7,8020073.6,1,39.9240356,116.3027979,138,13418.51542,6418.788032
139,_____44__,92088,67.87,67.87,6250012.56,1,39.934328,116.330911,139,12804.22196,5405.531994
140,____49_,76486.25,241.9,60.475,18120067.4,4,39.907951,116.300365,140,15166.56004,8214.381021
141,___16__,87026.6,384,76.8,33278221.5,5,39.90944005,116.2983552,141,14985.45584,8070.824251
142,___17__,71737.6,325.3,65.06,22640163.1,5,39.90914917,116.295918,142,14999.3715,8131.562643
143,___22__,73380,459.31,57.41375,33380172.3,8,39.91047227,116.295828,143,14852.43513,7987.835167
144,___26__,72934.75,200.7,50.175,14420069.5,4,39.91047227,116.295828,144,14852.43513,7987.835167
145,___2__,79041.22414,3274.09,56.44982759,254849444.1,58,39.9094128,116.2949279,145,14963.48103,8115.641018
